epoch,categorical_accuracy,loss,lr,val_categorical_accuracy,val_loss
0,0.041188959032297134,3.136528730392456,0.001,0.06114649772644043,3.123422145843506
1,0.047558385878801346,3.0588974952697754,0.001,0.09978768229484558,2.909137487411499
2,0.08365180343389511,2.9148833751678467,0.001,0.11337579786777496,2.7879462242126465
3,0.0993630588054657,2.7660000324249268,0.001,0.14861996471881866,2.605473041534424
4,0.12696391344070435,2.629927396774292,0.001,0.18683651089668274,2.4039359092712402
5,0.176645427942276,2.396449565887451,0.001,0.24246284365653992,2.167069673538208
6,0.2186836451292038,2.2376983165740967,0.001,0.2666666805744171,1.9791589975357056
7,0.2564755976200104,2.0647830963134766,0.001,0.3265392780303955,1.8355709314346313
8,0.2934182584285736,1.9509568214416504,0.001,0.3579617738723755,1.8117156028747559
9,0.31422504782676697,1.8947259187698364,0.001,0.38683652877807617,1.6546047925949097
10,0.3460721969604492,1.8429021835327148,0.001,0.4131634831428528,1.6224418878555298
11,0.3821656107902527,1.6643458604812622,0.001,0.5095541477203369,1.3727617263793945
12,0.43184712529182434,1.527063250541687,0.001,0.5490446090698242,1.2584280967712402
13,0.4675159156322479,1.444725751876831,0.001,0.5991507172584534,1.140406847000122
14,0.48917198181152344,1.373509168624878,0.001,0.6212314367294312,1.0791693925857544
15,0.5108280181884766,1.3208385705947876,0.001,0.5159235596656799,1.2333484888076782
16,0.5392781496047974,1.2623670101165771,0.001,0.6552016735076904,0.992347240447998
17,0.5541401505470276,1.2291592359542847,0.001,0.6450105905532837,0.9540186524391174
18,0.5851380228996277,1.102027177810669,0.001,0.6832271814346313,0.8751757144927979
19,0.619108259677887,1.0166667699813843,0.001,0.6768577694892883,0.8906120657920837
20,0.599575400352478,1.062180757522583,0.001,0.6946921348571777,0.8877623081207275
21,0.5855626463890076,1.0911411046981812,0.001,0.6666666865348816,0.8787082433700562
22,0.6386411786079407,0.9588116407394409,0.001,0.7320594191551208,0.7882647514343262
23,0.6169851422309875,1.0188229084014893,0.001,0.6985138058662415,0.7983130216598511
24,0.6683651804924011,0.9039841294288635,0.001,0.7469214200973511,0.7139303684234619
25,0.6734607219696045,0.9019908308982849,0.001,0.7664543390274048,0.6550641059875488
26,0.6692144274711609,0.9036837816238403,0.001,0.7545647621154785,0.6768422722816467
27,0.675159215927124,0.8620340824127197,0.001,0.6955413818359375,0.8257705569267273
28,0.6683651804924011,0.8837037682533264,0.001,0.7087048888206482,0.7456461787223816
29,0.7074310183525085,0.7893955707550049,0.001,0.7681528925895691,0.6153491139411926
30,0.7218683362007141,0.7478538751602173,0.001,0.7923566699028015,0.5881773829460144
31,0.7418258786201477,0.7017204165458679,0.001,0.7447983026504517,0.6754150986671448
32,0.6985138058662415,0.8034332990646362,0.001,0.734182596206665,0.660629153251648
33,0.7074310183525085,0.7746143341064453,0.001,0.7634819746017456,0.6235515475273132
34,0.7388535141944885,0.7209380269050598,0.001,0.7753715515136719,0.6037407517433167
35,0.7371549606323242,0.7096781134605408,0.001,0.7651804685592651,0.5927814245223999
36,0.7537155151367188,0.6676488518714905,0.001,0.7808917164802551,0.5861743092536926
37,0.7367303371429443,0.7074841260910034,0.001,0.7715498805046082,0.5806671977043152
38,0.7596603035926819,0.6679739952087402,0.001,0.8042463064193726,0.5225070118904114
39,0.7753715515136719,0.6093645095825195,0.001,0.8029723763465881,0.515649676322937
40,0.7575371265411377,0.6319241523742676,0.001,0.8352441787719727,0.45668095350265503
41,0.7753715515136719,0.5999456644058228,0.001,0.8450106382369995,0.4302849769592285
42,0.8012738823890686,0.5426764488220215,0.001,0.8411889672279358,0.43021726608276367
43,0.7881103754043579,0.5620830655097961,0.001,0.8509554266929626,0.4130527973175049
44,0.7893843054771423,0.5706315636634827,0.001,0.784288763999939,0.5737025737762451
45,0.7171974778175354,0.7713095545768738,0.001,0.5919320583343506,1.1210095882415771
46,0.6004246473312378,1.1268610954284668,0.001,0.7078556418418884,0.8598818182945251
47,0.6959660053253174,0.8130012154579163,0.001,0.7889596819877625,0.5958648324012756
48,0.7554140090942383,0.6821869611740112,0.001,0.8148620128631592,0.5019099712371826
49,0.7711252570152283,0.5935946702957153,0.001,0.8556263446807861,0.4046858549118042
50,0.7987261414527893,0.5500503778457642,0.001,0.8539277911186218,0.39468714594841003
51,0.8038216829299927,0.5333015322685242,0.001,0.8683651685714722,0.3721318542957306
52,0.8203821778297424,0.4858669638633728,0.001,0.8645434975624084,0.37231016159057617
53,0.824628472328186,0.48676586151123047,0.001,0.8785562515258789,0.345493882894516
54,0.808917224407196,0.5208401679992676,0.001,0.8382165431976318,0.42952290177345276
55,0.8259023427963257,0.505998432636261,0.001,0.856050968170166,0.39577242732048035
56,0.8314225077629089,0.4703797399997711,0.001,0.8696390390396118,0.35320818424224854
57,0.8399150967597961,0.4314400255680084,0.001,0.8666666746139526,0.35399433970451355
58,0.8271762132644653,0.4770444631576538,0.001,0.8806794285774231,0.34182605147361755
59,0.8322717547416687,0.4494056701660156,0.001,0.884501039981842,0.3218531012535095
60,0.8416135907173157,0.4301431477069855,0.001,0.8730360865592957,0.3457484841346741
61,0.8458598852157593,0.4316251873970032,0.001,0.8704883456230164,0.35027843713760376
62,0.8437367081642151,0.42823678255081177,0.001,0.8802548050880432,0.3152744770050049
63,0.8144373893737793,0.4995701313018799,0.001,0.8861995935440063,0.30972394347190857
64,0.840339720249176,0.41329455375671387,0.001,0.8751592636108398,0.3190341293811798
65,0.8471337556838989,0.4010424315929413,0.001,0.8760085105895996,0.32112571597099304
66,0.8382165431976318,0.42271825671195984,0.001,0.8148620128631592,0.4932743012905121
