epoch,categorical_accuracy,loss,lr,val_categorical_accuracy,val_loss
0,0.04458598792552948,3.15219783782959,0.001,0.04798301309347153,3.1146488189697266
1,0.06242038309574127,3.1060194969177246,0.001,0.08025477826595306,3.0747623443603516
2,0.08365180343389511,3.05096697807312,0.001,0.12441613525152206,2.9775054454803467
3,0.1193205937743187,2.936331033706665,0.001,0.12696391344070435,2.806215524673462
4,0.13078556954860687,2.784609317779541,0.001,0.18259023129940033,2.6033079624176025
5,0.16815286874771118,2.601966619491577,0.001,0.2781316339969635,2.4048855304718018
6,0.1898089200258255,2.4770169258117676,0.001,0.3176220953464508,2.2386415004730225
7,0.22802548110485077,2.3192787170410156,0.001,0.3358811140060425,2.105956792831421
8,0.2539278268814087,2.228740930557251,0.001,0.40721869468688965,1.9599671363830566
9,0.27218684554100037,2.1510887145996094,0.001,0.41401273012161255,1.8955507278442383
10,0.29723992943763733,2.072359085083008,0.001,0.434394896030426,1.81312096118927
11,0.3269639015197754,1.975165843963623,0.001,0.4505307972431183,1.7418347597122192
12,0.3354564607143402,1.922170877456665,0.001,0.4730360805988312,1.6542682647705078
13,0.3690021336078644,1.81200110912323,0.001,0.5044586062431335,1.578352451324463
14,0.38980892300605774,1.752120852470398,0.001,0.524840772151947,1.5038447380065918
15,0.3885350227355957,1.7301034927368164,0.001,0.5443736910820007,1.4772557020187378
16,0.4309978783130646,1.6514427661895752,0.001,0.5235669016838074,1.4352504014968872
17,0.43397027254104614,1.6253228187561035,0.001,0.5515923500061035,1.3859821557998657
18,0.4484076499938965,1.5616756677627563,0.001,0.5915074348449707,1.3151917457580566
19,0.4662420451641083,1.5129197835922241,0.001,0.6169851422309875,1.2722342014312744
20,0.47388535737991333,1.477112054824829,0.001,0.6016985177993774,1.257204532623291
21,0.4895966053009033,1.4404308795928955,0.001,0.6169851422309875,1.2202218770980835
22,0.5129511952400208,1.3890392780303955,0.001,0.6458598971366882,1.1562410593032837
23,0.5278131365776062,1.3376458883285522,0.001,0.6628450155258179,1.1078250408172607
24,0.5227175951004028,1.3163615465164185,0.001,0.6777070164680481,1.0725525617599487
25,0.5524415969848633,1.265407919883728,0.001,0.6649681329727173,1.0542420148849487
26,0.5639066100120544,1.2595995664596558,0.001,0.6891719698905945,1.0187844038009644
27,0.571974515914917,1.2062413692474365,0.001,0.687473475933075,0.9898585677146912
28,0.5830148458480835,1.1667110919952393,0.001,0.690870463848114,0.9810050129890442
29,0.5851380228996277,1.150167465209961,0.001,0.6951167583465576,0.9517967104911804
30,0.6050955653190613,1.1280685663223267,0.001,0.6972399353981018,0.919130265712738
31,0.6140127182006836,1.0925536155700684,0.001,0.7150743007659912,0.8781910538673401
32,0.6233545541763306,1.08692467212677,0.001,0.709554135799408,0.8757143020629883
33,0.6220806837081909,1.0728135108947754,0.001,0.7214437127113342,0.8449358940124512
34,0.634819507598877,1.0211260318756104,0.001,0.7375796437263489,0.8289415240287781
35,0.6420382261276245,1.0178552865982056,0.001,0.7290870547294617,0.8128107190132141
36,0.6458598971366882,0.9943737983703613,0.001,0.7218683362007141,0.8163030743598938
